date_rec|time_rec|username|n
2020-05-13|12:11:21|argonaaut_|6
2020-05-13|12:39:19|argonaaut_|6
2020-05-15|03:35:35|argonaaut_|6
2020-05-15|03:49:46|argonaaut_|6
2020-05-15|05:04:58|argonaaut_|6
2020-05-16|14:11:15|argonaaut_|6
2020-05-16|16:32:24|argonaaut_|6
2020-05-17|16:59:27|argonaaut_|6
2020-05-18|04:00:36|argonaaut_|6
2020-05-19|02:49:46|argonaaut_|6
2020-05-19|09:42:23|argonaaut_|6
2020-05-19|11:53:36|argonaaut_|6
2020-05-19|15:24:37|argonaaut_|6
2020-05-22|07:29:29|argonaaut_|6
2020-05-22|09:11:17|stopriots2020|6
2020-05-22|11:33:52|argonaaut_|6
2020-05-23|14:52:13|argonaaut_|6
2020-05-23|15:31:49|argonaaut_|6
2020-05-25|17:48:27|stopriots2020|6
2020-05-26|05:36:56|argonaaut_|6
2020-05-26|05:37:52|argonaaut_|6
2020-05-27|10:25:26|stopriots2020|6
2020-05-27|10:32:42|stopriots2020|6
2020-05-28|03:57:53|argonaaut_|6
2020-05-28|11:45:45|stopriots2020|6
2020-05-29|13:01:51|argonaaut_|6
2020-05-29|14:29:45|stopriots2020|6
2020-05-29|15:59:38|argonaaut_|6
2020-05-29|17:12:49|argonaaut_|6
2020-05-29|17:36:41|stopriots2020|6
2020-05-29|18:27:41|stopriots2020|6
2020-05-31|00:04:10|cherishstweets|6
2020-05-31|02:04:24|argonaaut_|6
2020-05-31|02:09:11|argonaaut_|6
2020-05-31|09:41:30|argonaaut_|6
2020-05-31|11:52:52|madeintyo|6
2020-05-31|12:33:44|leanandcuisine|6
2020-05-31|13:36:55|siugggg|6
